ID,Name,KG,Beschreibung,Link,Wikidata ID,Wikidata Link,Benannt nach,Wikidata Person ID,Wikidata Person Link,Wikidata Person Name,Wikidata Person Geschlecht,Wikidata Person Beruf,Wikidata Person Geburtsdatum,Wikidata Person Sterbedatum
1713,Flachenauergutstraße,Lustenau,Nach dem Objekt Estermannstraße 4 etwa in südsüdöstlicher Richtung zur Prinz-Eugen-Straße verlaufend. Benannt 1992 nach dem gleichnamigen Bauerngut.,http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1713,,,,,,,,,,
1714,Fließerweg,Katzbach,"Nach dem Objekt Altenberger Straße 120 etwa in südöstlicher Richtung verlaufende Sackgasse. Benannt 1981 nach Bischof Joseph Calasanctius Fließer (1896-1960). - Vorher Teil des Koglerweges, dessen Einmündung in die Altenberger Straße wegen des Baues der Mühlkreisautobahn nach Süden verschwenkt wurde.",http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1714,,,Joseph Calasanctius Fließer,Q1708453,https://www.wikidata.org/wiki/Q1708453,Josephus Calasanz Fließer,male,Catholic priest,1896-07-28T00:00:00Z,1960-06-12T00:00:00Z
1717,Florianer Straße,"Ebelsberg, Mönchgraben","Von der Wiener Straße beim Friedhof Ebelsberg etwa in südsüdöstlicher Richtung zur Stadtgrenze mit St. Florian verlaufend. Benannt 1954 als Richtungsbezeichnung, doch bereits vorher schon so bezeichnet.",http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1717,,,,,,,,,,
1718,Floßmannweg,Ebelsberg,"Vom Ziegelhubweg vorerst etwa in nördlicher, dann in westlicher Richtung verlaufende Sackgasse. Im Vollausbau später U-förmig zum Ziegelhubweg zurückführend. Benannt 1991 nach der sozialistischen Abgeordneten zum oberösterreichischen Landtag und zum Nationalrat Ferdinanda Floßmann (1888-1964).",http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1718,,,Ferdinanda Floßmann,Q1406059,https://www.wikidata.org/wiki/Q1406059,Ferdinanda Flossmann,female,politician,1888-03-12T00:00:00Z,1964-07-13T00:00:00Z
1715,Flötzerweg,Kleinmünchen,"Vor dem Objekt Dauphinestraße 51 vorerst etwa in südwestlicher, dann in westsüdwestlicher Richtung zum Bäckermühlweg verlaufend. Benannt 1934 als Teil des Weges, den die Flötzer (Traunflößer) bei ihrer Rückreise zu Fuß zurücklegten. - 1947 Einbeziehung des Wegstückes An der Lohwiesen, das 1942 nach der südlich davon liegenden Lohwiesen benannt worden war.",http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1715,Q106635003,https://www.wikidata.org/wiki/Q106635003,,,,,,,,
1719,Flügelhofgasse,Linz,Beim Objekt Lessingstraße 14 bogenförmig nach Norden zur Römerstraße verlaufend. Altbenannt nach dem um etwa 1485 außerhalb des kaiserlichen Schlosses errichteten Geflügelhof.,http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1719,,,,,,,,,,
1720,Flurgasse,Kleinmünchen,Von der Baintwiese etwa in südsüdöstlicher Richtung zum Straßenzug Am Aufeld verlaufend. Benannt 1957.,http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1720,,,,,,,,,,
1721,Flußgasse,Urfahr,Von der Oberen Donaustraße etwa in nordwestlicher Richtung zum Bernaschekplatz verlaufend. Benannt 1875. - Ein Teil dieser Straße wurde zwischen 1881 und 1921 als Kronprinzessin-Stephanie-Straße bezeichnet.,http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1721,,,,,,,,,,
1723,Forellenweg,Ufer,Vor dem Objekt Neufelderstraße 97 etwa in nördlicher Richtung zum Hochwasserschutzdamm der Traun verlaufend. Benannt 1961 nach der einheimischen Fischart.,http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1723,,,,,,,,,,
1724,Franckstraße,"Lustenau, Linz","Von der Goethestraße etwa in ostsüdöstlicher Richtung zur St.-Peter-Straße verlaufend. Benannt 1905 nach dem Industriellen und Ehrenbürger Karl Heinrich Franck (1849-1926), der 1883 die Leitung der vier Jahre vorher in Linz gegründeten Niederlassung der Kaffeemittelfabrik übernahm.",http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1724,Q106635004,https://www.wikidata.org/wiki/Q106635004,Karl Heinrich Franck,,,,,,,
3420,Franz-Kain-Weg,Urfahr,"Vom Straßenzug In der Aichwiesen vorerst in südwestlicher Richtung verlaufend, dann in etwa nordöstliche Richtung umbiegend und als Sackgasse endend. Benannt 1999 nach dem Schriftsteller Franz Kain (1922-1997).",http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=3420,,,Franz Kain,Q1447656,https://www.wikidata.org/wiki/Q1447656,Franz Kain,male,journalist,1922-01-10T00:00:00Z,1997-10-27T00:00:00Z
1727,Franz-Kurz-Straße,Kleinmünchen,Als Sackgasse beginnend und mit Unterbrechungen etwa in südsüdöstlicher Richtung zur Dauphinestraße verlaufend. Benannt 1929 nach dem Historiker und Florianer Augustiner-Chorherrn Franz Kurz (1771-1843).,http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1727,,,Franz Kurz,Q56007129,https://www.wikidata.org/wiki/Q56007129,Franz Kurz,male,artist,1771-07-02T00:00:00Z,1843-04-12T00:00:00Z
1728,Franz-Xaver-Müller-Weg,Kleinmünchen,Nach dem Objekt Wambacher Straße 21 etwa in ostsüdöstlicher Richtung zur Edmund-Aigner-Straße verlaufend. Benannt 1957 nach dem Komponisten und Domkapellmeister Franz Xaver Müller (1870-1948).,http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1728,,,Franz Xaver Müller,,,,,,,
1729,Franzosenhausweg,Ebelsberg,Von der Neubauzeile in südlicher Richtung zur Dallingerstraße verlaufend. Benannt 1954 nach dem gleichnamigen Bauernhaus.,http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1729,,,,Q1449689,https://www.wikidata.org/wiki/Q1449689,Franz Xaver Müller,male,composer,1870-05-10T00:00:00Z,1948-02-03T00:00:00Z
1730,Fraunhoferweg,Kleinmünchen,"Nach dem Objekt Vogelfängerweg 49 etwa in südsüdöstlicher Richtung zum Flötzerweg verlaufend. Benannt 1956 nach dem deutschen Physiker und Astronomen Joseph von Fraunhofer (1787-1826), dem Wegbereiter der Spektralanalyse.",http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1730,,,Joseph von Fraunhofer,Q43948,https://www.wikidata.org/wiki/Q43948,Joseph von Fraunhofer,male,physicist,1787-03-06T00:00:00Z,1826-06-07T00:00:00Z
1732,Freinbergstraße,Waldegg,Von der Römerstraße etwa in südsüdöstlicher Richtung zur Leondinger Straße verlaufend. Benannt 1913 nach dem Freinberg.,http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1732,,,,,,,,,,
1733,Freistädter Straße,"Urfahr, Katzbach","Von der Hauptstraße etwa in nordöstlicher, dann in nördlicher und ostnordöstlicher Richtung zur Stadtgrenze zu Engerwitzdorf verlaufend. Benannt 1901 als Richtungsbezeichnung. - Vorher Äußere Pflasterstraße nach der Konskriptionsortschaft Pflaster.",http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1733,Q106686992,https://www.wikidata.org/wiki/Q106686992,,,,,,,,
1735,Freiwillige-Schützen-Straße,Ufer,"Vom Zeillingerweg etwa in östlicher Richtung verlaufende Sackgasse. Benannt 1965 nach den Wiener Freiwilligen Schützen, die im Gefecht von Ebelsberg von 1809 gegen Napoleon eine maßgebliche Rolle spielten.",http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1735,,,,,,,,,,
1736,Freytagstraße,Lustenau,Von der Stieglbauernstraße etwa in südöstlicher Richtung zur Ebenhochstraße verlaufend. Benannt 1945 nach dem Linzer Schauspieler und Dichter Anton Freytag (1854-1934). - Ab 1940 Feikestraße.,http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1736,,,Anton Freytag,,,,,,,
1737,Fridellistraße,Waldegg,"Gegenüber dem Objekt Kefergutstraße 48 vorerst in nördlicher, dann etwa in westnordwestlicher Richtung zur Hummelhofstraße verlaufend. Benannt 1963 nach dem Linzer Jesuitenpater, Chinamissionar und Kartographen Xaver Ernbert Fridelli (1673-1743).",http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1737,,,Xaver Ernbert Fridelli,Q265470,https://www.wikidata.org/wiki/Q265470,Xavier Ehrenbert Fridelli,male,cartographer,1673-03-11T00:00:00Z,1743-06-04T00:00:00Z
1738,Friedensplatz,Linz,Im Bereich der Seilerstätte. Benannt 1990 zur Eröffnung des Brunnens der Menschenrechte und zur Untermauerung der Deklaration von Linz als Friedensstadt (1986).,http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1738,,,,,,,,,,
1739,Friedhofstraße,Lustenau,"Von der Humboldtstraße etwa in ostsüdöstlicher Richtung zur Hamerlingstraße verlaufend. Benannt 1869, die Bezeichnung war bei der Bevölkerung aber schon seit dem ausgehenden 18. Jahrhundert gebräuchlich. Bis 1869 war auch die spätere Blumauerstraße einbezogen.",http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1739,,,,,,,,,,
1743,Friedrichstraße,Urfahr,"Nach dem Objekt Hauptstraße 12 etwa in nordöstlicher Richtung zur Ferihumerstraße verlaufend. Benannt 1990 nach Kaiser Friedrich III. (1415-1493), der von 1489 bis zu seinem Tod in Linz residierte und unter dem die Stadt erstmals als Hauptstadt des Landes ob der Enns bezeichnet wurde. - Ab 1921 Urfahrer Friedhofstraße, vorher Friedhofstraße.",http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1743,,,Kaiser Friedrich III.,Q150966,https://www.wikidata.org/wiki/Q150966,"Frederick III, Holy Roman Emperor",male,ruler,1415-09-21T00:00:00Z,1493-08-19T00:00:00Z
1745,Fritz-Lach-Weg,"Linz, Waldegg","Als Fortsetzung der Mariahilfgasse etwa in westlicher Richtung, dann in einem S-förmigen Bogen zur Freinbergstraße verlaufend. Benannt 1934 nach dem Linzer Landschaftsmaler Fritz Lach (1868-1933).",http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1745,,,Fritz Lach,Q1467230,https://www.wikidata.org/wiki/Q1467230,Fritz Lach,male,painter,1868-05-29T00:00:00Z,1933-10-09T00:00:00Z
1746,Fröbelstraße,Lustenau,"Von der Füchselstraße vorerst etwa in südsüdöstlicher, dann in ostnordöstlicher Richtung zur Franckstraße verlaufend. Benannt 1928 nach dem Pädagogen und Schöpfer des modernen Kindergartens Friedrich Fröbel (1782-1852).",http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1746,,,Friedrich Fröbel,Q76679,https://www.wikidata.org/wiki/Q76679,Friedrich Fröbel,male,pedagogue,1782-04-21T00:00:00Z,1852-06-21T00:00:00Z
1747,Fröhlerweg,Katzbach,"Vom Objekt Pulvermühlstraße 23 vorerst in westsüdwestlicher Richtung verlaufend, dann in nördlicher und östlicher Richtung zu diesem Straßenzug zurückführend. Benannt 1996 nach Ludwig Fröhler (1920-1995), Gründungsrektor der Hochschule für Sozial- und Wirtschaftswissenschaften Linz.",http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1747,,,Ludwig Fröhler,Q1606176,https://www.wikidata.org/wiki/Q1606176,Ludwig Fröhler,male,judge,1920-04-28T00:00:00Z,1995-07-05T00:00:00Z
1749,Froschberg,"Waldegg, Linz",Von der Bergschlößlgasse etwa in südlicher Richtung zur Göllerichstraße verlaufend. Benannt 1929 nach einem Flurnamen.,http://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=1749,,,,,,,,,,
